Frames,FIFO,LRU,OPT
1,100,100,100
2,95,96,79
3,84,85,64
4,78,79,54
5,71,70,44
6,65,65,36
7,57,54,30
8,44,48,27
9,36,43,26
10,28,30,22
11,25,22,23
12,16,18,21
13,13,17,22
